Национальная цель;Показатель;Статистический индикатор;Единица измерения;Тип индикатора;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2035;Нацпроект;Ответственный (ФОИВ);Использовать для агента;Раздел;Декомпозиция по регионам;Периодичность обновления;Ссылка;Год данных;Период;Формат;Примечание;Методика расчета;Тип показателя;
5. Устойчивая и динамичная экономика;5.8. Вовлечение к 2030 году не менее чем 40 процентов средних и крупных предприятий базовых несырьевых отраслей экономики и 100 процентов государственных и муниципальных организаций социальной сферы в реализацию проектов, направленных на повышение производительности труда;Дополнительный: Рост производительности труда по деятельности в области информации и связи к 2023 году, %;%;Дополнительный;;;;105.9;108.5;111.8;115.4;120.2;125.6;131.5;;Единый план;Минцифры России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.8. Вовлечение к 2030 году не менее чем 40 процентов средних и крупных предприятий базовых несырьевых отраслей экономики и 100 процентов государственных и муниципальных организаций социальной сферы в реализацию проектов, направленных на повышение производительности труда;Дополнительный: Рост производительности труда по деятельности по операциям с недвижимым имуществом к 2023 году, %;%;Дополнительный;;;;105.8;109.1;112.8;116.6;121.6;127.4;133.7;;Единый план;Росреестр;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.8. Вовлечение к 2030 году не менее чем 40 процентов средних и крупных предприятий базовых несырьевых отраслей экономики и 100 процентов государственных и муниципальных организаций социальной сферы в реализацию проектов, направленных на повышение производительности труда;Дополнительный: Рост производительности труда по деятельности профессиональной, научной и технической к 2023 году, %;%;Дополнительный;;;;104.9;107.3;110.4;114;118.6;124;129.8;;Единый план;Минобрнауки России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.8. Вовлечение к 2030 году не менее чем 40 процентов средних и крупных предприятий базовых несырьевых отраслей экономики и 100 процентов государственных и муниципальных организаций социальной сферы в реализацию проектов, направленных на повышение производительности труда;Дополнительный: Количество обучающихся в дошкольных образовательных организациях и общеобразовательных организациях в расчете на одного работника организации, человек;человек;Дополнительный;;;5.92;5.92;5.92;5.92;5.92;5.92;5.92;5.92;;ФП «Производительность труда» (НП «Эффективная и конкурентная экономика»);Минпросвещения России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.8. Вовлечение к 2030 году не менее чем 40 процентов средних и крупных предприятий базовых несырьевых отраслей экономики и 100 процентов государственных и муниципальных организаций социальной сферы в реализацию проектов, направленных на повышение производительности труда;Дополнительный: Количество обучающихся в профессиональных образовательных организациях в расчете на одного работника организации, человек;человек;Дополнительный;;;8.33;8.33;8.33;8.33;8.33;8.33;8.33;8.33;;ФП «Производительность труда» (НП «Эффективная и конкурентная экономика»);Минпросвещения России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.8. Вовлечение к 2030 году не менее чем 40 процентов средних и крупных предприятий базовых несырьевых отраслей экономики и 100 процентов государственных и муниципальных организаций социальной сферы в реализацию проектов, направленных на повышение производительности труда;Дополнительный: Увеличение количества социальных услуг, предоставленных организацией социального обслуживания, в расчете на одного работника организации социального обслуживания, единица;единица;Дополнительный;;;2686;2686;2686;2772;2858;2944;3030;3116;;ФП «Производительность труда» (НП «Эффективная и конкурентная экономика»);Минтруд России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.8. Вовлечение к 2030 году не менее чем 40 процентов средних и крупных предприятий базовых несырьевых отраслей экономики и 100 процентов государственных и муниципальных организаций социальной сферы в реализацию проектов, направленных на повышение производительности труда;Дополнительный: Увеличение количества посещений организаций культуры в расчете на одного работника организации, %;%;Дополнительный;;;100;100;109.68;116.68;119.35;125.81;129.03;135.48;;ФП «Производительность труда» (НП «Эффективная и конкурентная экономика»);Минкультуры России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.8. Вовлечение к 2030 году не менее чем 40 процентов средних и крупных предприятий базовых несырьевых отраслей экономики и 100 процентов государственных и муниципальных организаций социальной сферы в реализацию проектов, направленных на повышение производительности труда;Дополнительный: Рост случаев проведенного диспансерного наблюдения в расчете на одну занятую должность врача, оказывающего первичную медико-санитарную помощь в амбулаторных условиях, %;%;Дополнительный;;;100;100;101.7;102.5;103.3;103.7;104.3;105;;ФП «Производительность труда» (НП «Эффективная и конкурентная экономика»);Минздрав России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.8. Вовлечение к 2030 году не менее чем 40 процентов средних и крупных предприятий базовых несырьевых отраслей экономики и 100 процентов государственных и муниципальных организаций социальной сферы в реализацию проектов, направленных на повышение производительности труда;Дополнительный: Увеличение оборота койки, %;%;Дополнительный;;;100;100;101.7;102.5;103.3;103.7;104.3;105;;ФП «Производительность труда» (НП «Эффективная и конкурентная экономика»);Минздрав России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.8. Вовлечение к 2030 году не менее чем 40 процентов средних и крупных предприятий базовых несырьевых отраслей экономики и 100 процентов государственных и муниципальных организаций социальной сферы в реализацию проектов, направленных на повышение производительности труда;Дополнительный: Численность обучающихся на одного работника образовательной организации высшего образования, человек;человек;Дополнительный;;;7.83;7.83;7.94;7.98;8.02;8.05;8.11;8.15;;ФП «Производительность труда» (НП «Эффективная и конкурентная экономика»);Минобрнауки России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.8. Вовлечение к 2030 году не менее чем 40 процентов средних и крупных предприятий базовых несырьевых отраслей экономики и 100 процентов государственных и муниципальных организаций социальной сферы в реализацию проектов, направленных на повышение производительности труда;Дополнительный: Численность обучающихся на одного работника категории административный и вспомогательный персонал образовательной организации высшего образования, человек;человек;Дополнительный;;;18.12;18.12;18.53;18.7;18.9;19.09;19.3;19.52;;ФП «Производительность труда» (НП «Эффективная и конкурентная экономика»);Минобрнауки России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.8. Вовлечение к 2030 году не менее чем 40 процентов средних и крупных предприятий базовых несырьевых отраслей экономики и 100 процентов государственных и муниципальных организаций социальной сферы в реализацию проектов, направленных на повышение производительности труда;Дополнительный: Увеличение количества граждан, систематически занимающихся физической культурой и спортом, в расчете на одного работника сферы физической культуры и спорта, человек;человек;Дополнительный;;;175.8;175.8;183;188;193;199;205;210;;ФП «Производительность труда» (НП «Эффективная и конкурентная экономика»);Минспорт России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.9. Создание к 2030 году эффективной системы подготовки, профессиональной переподготовки и повышения квалификации кадров для приоритетных отраслей экономики исходя из прогноза потребности в них;5.9. Темпы сокращения дефицита кадров за счет увеличения занятости относительно значения базового года, %;%;Основной;;;100;100;100.9;101.3;101.9;102.4;102.8;103.4;;НП «Кадры»;Голикова Т.А.;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.9. Создание к 2030 году эффективной системы подготовки, профессиональной переподготовки и повышения квалификации кадров для приоритетных отраслей экономики исходя из прогноза потребности в них;Дополнительный: Уровень трудоустройства выпускников, завершивших обучение по образовательным программам среднего профессионального образования, осуществляющих трудовую деятельность в течение одного года после выпуска, %;%;Дополнительный;50;52;53;54;55.5;57;59;61.5;64.5;67.7;;ФП «Образование для рынка труда» (НП «Кадры»);Минпросвещения России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.9. Создание к 2030 году эффективной системы подготовки, профессиональной переподготовки и повышения квалификации кадров для приоритетных отраслей экономики исходя из прогноза потребности в них;Дополнительный: Уровень трудоустройства выпускников, завершивших обучение по образовательным программам среднего профессионального образования, осуществляющих трудовую деятельность в течение двух лет после выпуска, %;%;Дополнительный;71;67;63.6;66;67;69;71.5;74.5;78;81.3;;ФП «Образование для рынка труда» (НП «Кадры»);Минпросвещения России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.9. Создание к 2030 году эффективной системы подготовки, профессиональной переподготовки и повышения квалификации кадров для приоритетных отраслей экономики исходя из прогноза потребности в них;Дополнительный: Уровень трудоустройства выпускников, завершивших обучение по образовательным программам высшего образования, осуществляющих трудовую деятельность в течение одного года после выпуска, %;%;Дополнительный;69.2;70.5;70;71;72;72.9;73.9;74.9;76;77;;ФП «Образование для рынка труда» (НП «Кадры»);Минобрнауки России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.9. Создание к 2030 году эффективной системы подготовки, профессиональной переподготовки и повышения квалификации кадров для приоритетных отраслей экономики исходя из прогноза потребности в них;Дополнительный: Уровень трудоустройства выпускников, завершивших обучение по образовательным программам высшего образования, осуществляющих трудовую деятельность в течение двух лет после выпуска, %;%;Дополнительный;72;73;73.7;74.6;75.7;76.6;77.7;78.8;80.1;81.4;;ФП «Образование для рынка труда» (НП «Кадры»);Минобрнауки России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.9. Создание к 2030 году эффективной системы подготовки, профессиональной переподготовки и повышения квалификации кадров для приоритетных отраслей экономики исходя из прогноза потребности в них;Дополнительный: Доля занятых граждан из числа завершивших профессиональное обучение и дополнительное профессиональное образование, %;%;Дополнительный;;;75;75;80;85;85;85;85;85;;ФП «Активные меры содействия занятости» (НП «Кадры»);Минтруд России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.10. Создание к 2030 году условий для одновременного освоения не менее чем 30 процентами студентов нескольких квалификаций в рамках профессионального образования;5.10. Доля обучающихся, получивших на бесплатной основе во время освоения образовательной программы более одной квалификации, из общей численности обучающихся, %;%;Основной;1.8;2.2;3;4.1;5.6;7.7;10.5;14.9;21.1;30;;НП «Молодежь и дети»;Чернышенко Д.Н.;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.11. Создание к 2030 году институциональных условий для постоянного профессионального развития работающих граждан, в том числе для получения новых профессий и повышения квалификации;5.11. Темпы сокращения дефицита кадров за счет увеличения занятости относительно значения базового года, %;%;Основной;;;100;100;100.9;101.3;101.9;102.4;102.8;103.4;;НП «Кадры»;Голикова Т.А.;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.11. Создание к 2030 году институциональных условий для постоянного профессионального развития работающих граждан, в том числе для получения новых профессий и повышения квалификации;Дополнительный: Доля граждан, считающих рабочие профессии престижными, %;%;Дополнительный;;;;61;62;65;66;70;73;75;;ФП «Человек труда» (НП «Кадры»);Минтруд России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.11. Создание к 2030 году институциональных условий для постоянного профессионального развития работающих граждан, в том числе для получения новых профессий и повышения квалификации;Дополнительный: Доля оборудованных рабочих мест, на которые трудоустроены инвалиды, от количества рабочих мест для приема на работу инвалидов в счет установленной квоты, %;%;Дополнительный;;;;;0.6;1.2;2.9;3.8;5.3;6;;ФП «Активные меры содействия занятости» (НП «Кадры»);Минтруд России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.12. Снижение к 2036 году не более чем до двух раз разрыва в уровнях бюджетной обеспеченности между 10 наиболее обеспеченными и 10 наименее обеспеченными субъектами Российской Федерации (с учетом оказания финансовой поддержки из федерального бюджета в форме целевых межбюджетных трансфертов);5.12. Отклонение в уровнях бюджетной обеспеченности между 10 наименее и 10 наиболее обеспеченными субъектами Российской Федерации с учетом оказания финансовой поддержки из федерального бюджета в форме целевых межбюджетных трансфертов, ед.;ед.;Основной;;2.3;2.1;2.4;2.4;2.4;2.4;2.3;2.3;2.2;2;Единый план;Хуснуллин М.Ш.;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.12. Снижение к 2036 году не более чем до двух раз разрыва в уровнях бюджетной обеспеченности между 10 наиболее обеспеченными и 10 наименее обеспеченными субъектами Российской Федерации (с учетом оказания финансовой поддержки из федерального бюджета в форме целевых межбюджетных трансфертов);Дополнительный: Темп роста расчетной бюджетной обеспеченности по 10 наименее обеспеченным субъектам Российской Федерации, %;%;Дополнительный;;114;130.5;130;134;138;142;146;150;154;174;Единый план КПМ «Поддержка и организация направления субъектам Российской Федерации межбюджетных трансфертов с целью выравнивания их бюджетной обеспеченности, обеспечения сбалансированности бюджетов субъектов Российской Федерации и муниципальных образований, социально-экономического развития и исполнения делегированных полномочий» (ГП «Развитие федеративных отношений и создание условий для эффективного и ответственного управления региональными и муниципальными финансами»);Минфин России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.13. Увеличение к 2030 году доли туристской отрасли в валовом внутреннем продукте до 5 процентов;5.13. Доля туристской отрасли в валовом внутреннем продукте, %;%;Основной;2.6;2.6;2.8;2.9;3;3.4;3.9;4.4;4.7;5;;НП «Туризм и гостеприимство»;Чернышенко Д.Н.;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.13. Увеличение к 2030 году доли туристской отрасли в валовом внутреннем продукте до 5 процентов;Дополнительный: Количество туристических поездок по территории Российской Федерации, млн ед.;млн ед.;Дополнительный;;;83.6;91.5;98.2;107;116.8;127;133;140;;НП «Туризм и гостеприимство»;Минэкономразвития России;да;;да;ежемесячно ;https://fedstat.ru/indicator/62900;2025;2025;ЕМИСС ;Доп метрика;;;
5. Устойчивая и динамичная экономика;5.13. Увеличение к 2030 году доли туристской отрасли в валовом внутреннем продукте до 5 процентов;Дополнительный: Авиационная подвижность населения Российской Федерации, полетов на 1 чел. в год;полетов на 1 чел. в год;Дополнительный;0.76;0.65;0.72;0.76;0.75;0.77;0.79;0.87;0.97;1.08;;НП «Эффективная транспортная система»;Минтранс России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.13. Увеличение к 2030 году доли туристской отрасли в валовом внутреннем продукте до 5 процентов;Дополнительный: Доля автомобильных дорог федерального значения, находящихся в нормативном состоянии, %;%;Дополнительный;76.1;72.7;73.8;69.4;68.2;68.5;71.5;81.6;83.5;85;;НП «Инфраструктура для жизни»;Минтранс России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.14. Обеспечение к 2030 году прироста объема экспорта несырьевых неэнергетических товаров не менее чем на две трети по сравнению с показателем 2023 года;5.14. Прирост объема экспорта несырьевых неэнергетических товаров к показателю 2023 года, %;%;Основной;;;;-6.5;0.5;4.5;13.6;31.5;47.6;67;;НП «Международная кооперация и экспорт»;Мантуров Д.В.;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.14. Обеспечение к 2030 году прироста объема экспорта несырьевых неэнергетических товаров не менее чем на две трети по сравнению с показателем 2023 года;Дополнительный: Объем экспорта несырьевых неэнергетических товаров к показателю 2023 года (в номинальных ценах), млрд долл.;млрд долл.;Дополнительный;;;148.5;137.4;149.24;155.25;168.65;195.3;219.22;248.1;;НП «Международная кооперация и экспорт»;Минпромторг России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.14. Обеспечение к 2030 году прироста объема экспорта несырьевых неэнергетических товаров не менее чем на две трети по сравнению с показателем 2023 года;Дополнительный: Объем экспорта товаров отраслей промышленности к показателю 2023 года (в номинальных ценах), млрд долл.;млрд долл.;Дополнительный;;;105.03;95.3;111.44;116.95;127.45;149.2;168.12;192.9;;ФП «Промышленный экспорт» (НП «Международная кооперация и экспорт»);Минпромторг России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.14. Обеспечение к 2030 году прироста объема экспорта несырьевых неэнергетических товаров не менее чем на две трети по сравнению с показателем 2023 года;Дополнительный: Объем экспорта продукции агропромышленного комплекса к показателю 2021 года (в номинальных ценах), млрд долл.;млрд долл.;Дополнительный;36.8;41.9;43.5;42.1;37.8;38.3;41.2;46.1;51.1;55.2;;ФП «Экспорт продукции агропромышленного комплекса» (НП «Международная кооперация и экспорт»);Минсельхоз России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.14. Обеспечение к 2030 году прироста объема экспорта несырьевых неэнергетических товаров не менее чем на две трети по сравнению с показателем 2023 года;Дополнительный: Объем внешнеторговых сделок с использованием инструментов Группы РЭЦ, млрд долл.;млрд долл.;Дополнительный;20.3;12.8;17;14.1;16.4;17.5;18.5;19.8;21.3;23.3;;ФП «Системные меры развития международной кооперации и экспорта» (НП «Международная кооперация и экспорт»);АО «Российский экспортный центр»;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.15. Увеличение к 2030 году объема производства продукции агропромышленного комплекса не менее чем на 25 процентов по сравнению с уровнем 2021 года;5.15. Индекс производства продукции агропромышленного комплекса (в сопоставимых ценах) к уровню 2021 года, %;%;Основной;100;105.8;109.4;109.5;111.7;113.8;115.8;118.5;122;125;;НП «Технологическое обеспечение продовольственной безопасности»;Патрушев Д.Н.;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.15. Увеличение к 2030 году объема производства продукции агропромышленного комплекса не менее чем на 25 процентов по сравнению с уровнем 2021 года;Дополнительный: Индекс производства продукции сельского хозяйства (в сопоставимых ценах) к уровню 2021 года, %;%;Дополнительный;100;111.3;111.5;108.2;107.9;110.3;112.7;115;119.3;122.6;;Государственная программа развития сельского хозяйства и регулирования рынков сельскохозяйственной продукции, сырья и продовольствия;Минсельхоз России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.15. Увеличение к 2030 году объема производства продукции агропромышленного комплекса не менее чем на 25 процентов по сравнению с уровнем 2021 года;Дополнительный: Индекс производства пищевых продуктов (в сопоставимых ценах) к уровню 2021 года, %;%;Дополнительный;100;101.1;107.8;110.3;110.9;113.1;115.4;118.2;121.1;124.2;;Государственная программа развития сельского хозяйства и регулирования рынков сельскохозяйственной продукции, сырья и продовольствия;Минсельхоз России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.15. Увеличение к 2030 году объема производства продукции агропромышленного комплекса не менее чем на 25 процентов по сравнению с уровнем 2021 года;Дополнительный: Достигнутый уровень технологической независимости в сфере продовольственной безопасности, %;%;Дополнительный;;;;;47.6;49.5;52.1;55.5;59.9;66.7;;НП «Технологическое обеспечение продовольственной безопасности»;Минсельхоз России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.16. Увеличение к 2030 году экспорта продукции агропромышленного комплекса не менее чем в полтора раза по сравнению с уровнем 2021 года;5.16. Объем экспорта продукции агропромышленного комплекса к показателю 2021 года (в номинальных ценах), млрд долл.;млрд долл.;Основной;36.8;41.9;43.5;42.1;37.8;38.3;41.2;46.1;51.1;55.2;;НП «Международная кооперация и экспорт»;Патрушев Д.Н.;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.16. Увеличение к 2030 году экспорта продукции агропромышленного комплекса не менее чем в полтора раза по сравнению с уровнем 2021 года;Дополнительный: Индекс производства продукции сельского хозяйства (в сопоставимых ценах) к уровню 2021 года, %;%;Дополнительный;100;111.3;111.5;108.2;107.9;110.3;112.7;115;119.3;122.6;;Государственная программа развития сельского хозяйства и регулирования рынков сельскохозяйственной продукции, сырья и продовольствия;Минсельхоз России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.16. Увеличение к 2030 году экспорта продукции агропромышленного комплекса не менее чем в полтора раза по сравнению с уровнем 2021 года;Дополнительный: Индекс производства пищевых продуктов (в сопоставимых ценах) к уровню 2021 года, %;%;Дополнительный;100;101.1;107.8;110.3;110.9;113.1;115.4;118.2;121.1;124.2;;Государственная программа развития сельского хозяйства и регулирования рынков сельскохозяйственной продукции, сырья и продовольствия;Минсельхоз России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.17. Формирование сети устойчивых партнерств с иностранными государствами и создание необходимой инфраструктуры для внешнеэкономической деятельности, технологической и промышленной кооперации и освоения новых рынков;5.17. Охват опорных стран российской инфраструктурой для ведения внешнеэкономической деятельности и обеспечения производственной и кооперационной связанности, %;%;Основной;;;;;3.85;7.69;11.54;15.38;19.23;23.08;;НП «Международная кооперация и экспорт»;Мантуров Д.В.;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.17. Формирование сети устойчивых партнерств с иностранными государствами и создание необходимой инфраструктуры для внешнеэкономической деятельности, технологической и промышленной кооперации и освоения новых рынков;Дополнительный: Количество опорных стран с российской инфраструктурой для ведения внешнеэкономической деятельности и обеспечения производственной и кооперационной связанности, ед.;ед.;Дополнительный;;;;;1;2;2;3;4;5;;Единый план;Минпромторг России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.18. Увеличение к 2030 году экспорта туристских услуг в три раза по сравнению с уровнем 2023 года;5.18. Объем экспорта туристических услуг, млрд долларов;млрд долларов;Основной;;;3.6;4;4.6;5.8;7;8.2;9.5;10.8;;НП «Туризм и гостеприимство»;Чернышенко Д.Н.;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.18. Увеличение к 2030 году экспорта туристских услуг в три раза по сравнению с уровнем 2023 года;Дополнительный: Численность иностранных граждан, размещенных в коллективных средствах размещения, млн человек;млн человек;Дополнительный;;;3.9;4.2;5.2;6.5;8.1;11.5;14.2;16;;ФП «Туристическая привлекательность страны» (НП «Туризм и гостеприимство»);Минэкономразвития России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.19. Увеличение к 2030 году объема перевозок по международным транспортным коридорам не менее чем в полтора раза по сравнению с уровнем 2021 года за счет повышения глобальной конкурентоспособности маршрутов;5.19. Объем перевозок грузов по международным транспортным коридорам, млн тонн;млн тонн;Основной;1012;977;1029;1050;1090;1159;1240;1326;1416;1519;;Единый план;Савельев В.Г.;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.20. Увеличение доли креативных (творческих) индустрий в экономике;5.20. Доля креативных (творческих) индустрий в экономике, %;%;Основной;3.2;3.2;3.5;3.9;4.2;4.6;5;5.3;5.7;6;;Единый план;Новак А.В., Мантуров Д.В., Голикова Т.А., Чернышенко Д.Н., Хуснуллин М.Ш., Григоренко Д.Ю.;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.20. Увеличение доли креативных (творческих) индустрий в экономике;Дополнительный: Доля валовой добавленной стоимости креативных индустрий в ВДС креативной экономики: Народные художественные промыслы и ремесла, %;%;Дополнительный;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;;Единый план;Минпромторг России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.20. Увеличение доли креативных (творческих) индустрий в экономике;Дополнительный: Доля валовой добавленной стоимости креативных индустрий в ВДС креативной экономики: Арт-индустрия, %;%;Дополнительный;2.2;2.2;2.2;2.3;2.3;2.3;2.3;2.3;2.3;2.3;;Единый план;Минэкономразвития России, Минкультуры России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.20. Увеличение доли креативных (творческих) индустрий в экономике;Дополнительный: Доля валовой добавленной стоимости креативных индустрий в ВДС креативной экономики: Культурное наследие, %;%;Дополнительный;5.3;5.5;5.5;5.5;5.5;5.5;5.5;5.5;5.5;5.5;;Единый план;Росархив, Минкультуры России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.20. Увеличение доли креативных (творческих) индустрий в экономике;Дополнительный: Доля валовой добавленной стоимости креативных индустрий в ВДС креативной экономики: Отдых и развлечение, %;%;Дополнительный;3.4;3.9;3.9;3.9;3.8;3.8;3.8;3.7;3.7;3.6;;Единый план;Минэкономразвития России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.20. Увеличение доли креативных (творческих) индустрий в экономике;Дополнительный: Доля валовой добавленной стоимости креативных индустрий в ВДС креативной экономики: Мода (вкл. ювелирное дело), %;%;Дополнительный;0.2;0.3;0.3;0.3;0.3;0.4;0.45;0.5;0.5;0.6;;Единый план;Минпромторг России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.20. Увеличение доли креативных (творческих) индустрий в экономике;Дополнительный: Доля валовой добавленной стоимости креативных индустрий в ВДС креативной экономики: Книжное дело, %;%;Дополнительный;1.8;1.9;1.9;1.9;1.8;1.7;1.6;1.55;1.55;1.5;;Единый план;Минцифры России, Минпромторг России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.20. Увеличение доли креативных (творческих) индустрий в экономике;Дополнительный: Доля валовой добавленной стоимости креативных индустрий в ВДС креативной экономики: Исполнительские искусства, %;%;Дополнительный;11.3;11.6;11.6;11.6;11.6;11.6;11.6;11.6;11.6;11.7;;Единый план;Минкультуры России, Минпромторг России, Минпросвещения России;;;;;;;;;;;;
